region,title,view_num,danmu,upload_time,up_author,bvid,video_url
环球,CGTN拍客独家直击俄乌现场：亲历乌克兰空袭,2.7万,10,2022-02-28,CGTN,BV1yY411G7yf,www.bilibili.com/video/BV1yY411G7yf?from=search
热点,乌展示2名俄军俘虏后 俄方展示14名乌军投降画面 其中还有女兵,14.1万,20,2022-02-25,看看新闻Knews,BV1Hi4y1y7iv,www.bilibili.com/video/BV1Hi4y1y7iv?from=search
热点,两岸比俄乌更复杂，张亚中：台湾问题属于中国内政，西方派兵可能性为0,39.0万,234,2022-02-24,海峡导报社,BV1v44y1n7mv,www.bilibili.com/video/BV1v44y1n7mv?from=search
热点,拜登声称普京在俄乌战事上“严重失算”,8.8万,122,2022-03-02,环球网,BV1iq4y147nv,www.bilibili.com/video/BV1iq4y147nv?from=search
热点,俄乌战机疑似在基辅附近发生空战,10.4万,19,2022-02-25,深圳卫视直新闻,BV1oP4y1F7C9,www.bilibili.com/video/BV1oP4y1F7C9?from=search
环球,俄乌冲突，会引发世界大战吗？美欧全力支持乌克兰，普京紧急行动,11.9万,1269,2022-02-28,邱震海,BV1GR4y1G7HT,www.bilibili.com/video/BV1GR4y1G7HT?from=search
环球,CGTN拍客独家直击俄乌现场：防空洞中的基辅居民希望噩梦尽早结束,1.3万,26,2022-03-02,CGTN,BV1ta411h7Km,www.bilibili.com/video/BV1ta411h7Km?from=search
热点,乌军方：切尔诺贝利核电站已被俄军控制,8.1万,13,2022-02-25,看看新闻Knews,BV1VS4y1k7NF,www.bilibili.com/video/BV1VS4y1k7NF?from=search
热点,莫斯科人对俄乌冲突升级这么看,108.0万,924,2022-02-25,新华社快看,BV1634y1r7Sq,www.bilibili.com/video/BV1634y1r7Sq?from=search
日常,俄乌战争爆发，美国学者却说了实话：抛弃乌克兰不等于会放弃台湾,1.0万,23,2022-03-02,瞩望云霄,BV14L411N7Xz,www.bilibili.com/video/BV14L411N7Xz?from=search
人文历史,【平远说】对俄乌冲突中的载具标识都是什么意思的一种猜测,3.9万,22,2022-02-28,没有脖子的平远,BV1cr4y167FU,www.bilibili.com/video/BV1cr4y167FU?from=search
热点,名嘴郭正亮谈俄乌冲突爆发原因：乌克兰总统泽连斯基做了两件事,18.1万,43,2022-02-23,海峡导报社,BV1Ub4y1s7JH,www.bilibili.com/video/BV1Ub4y1s7JH?from=search
热点,乌克兰总统：不要惊慌，我们很强大！美国已开始联合国际社会支持我们,152.1万,3007,2022-02-24,看看新闻Knews,BV1WS4y1k7t4,www.bilibili.com/video/BV1WS4y1k7t4?from=search
环球,乌俄谈判失败了？乌克兰想继续拖延时间，赵立坚对美发出灵魂拷问,4.6万,30,2022-03-01,神鸟知讯视阁国际,BV1uU4y1f7rd,www.bilibili.com/video/BV1uU4y1f7rd?from=search
热点,中国在俄乌冲突中立场尴尬？赖岳谦举例揭穿西方媒体的故意抹黑,13.5万,19,2022-02-24,海峡导报社,BV1y34y1r7n5,www.bilibili.com/video/BV1y34y1r7n5?from=search
热点,俄乌冲突持续 俄军向基辅方向推进,2.5万,5,2022-02-25,虎符视频,BV1eq4y1x7cF,www.bilibili.com/video/BV1eq4y1x7cF?from=search
日常,拜登煽动俄乌开战，想收割欧洲资金救美国，没想到便宜了中国,9258,47,2022-03-01,瞩望云霄,BV1KF411b7gN,www.bilibili.com/video/BV1KF411b7gN?from=search
日常,洋媳妇过生日不好庆祝，俄乌局势升级，俄罗斯人应该如何对待？,2.1万,176,2022-02-25,俄罗斯媳妇安娜,BV1ra411C7uy,www.bilibili.com/video/BV1ra411C7uy?from=search
热点,俄国防部长：乌军拿平民作&quot;肉盾&quot;,25.1万,116,2022-03-01,观察者网,BV15q4y147w9,www.bilibili.com/video/BV15q4y147w9?from=search
环球,2月28日俄乌局势梳理,76.3万,4299,2022-03-01,观察者网,BV1YS4y167nw,www.bilibili.com/video/BV1YS4y167nw?from=search
